N,Wide_Area,Wide_Relative_Error,Narrow_Area,Narrow_Relative_Error,Wide_Absolute_Error,Narrow_Absolute_Error
94600,0.939863,0.00492803,0.784757,0.169145,0.00465461,0.15976
95100,0.939748,0.00504972,0.785668,0.168181,0.00476955,0.158849
95600,0.929278,0.0161341,0.783881,0.170073,0.0152389,0.160636
96100,0.949542,0.00532013,0.785432,0.16843,0.00502496,0.159085
96600,0.946118,0.00169486,0.785031,0.168855,0.00160083,0.159486
97100,0.941153,0.00356133,0.784974,0.168915,0.00336374,0.159543
97600,0.939928,0.00485847,0.786383,0.167423,0.00458891,0.158134
98100,0.952018,0.0079418,0.78739,0.166357,0.00750116,0.157127
98600,0.950112,0.005923,0.785456,0.168404,0.00559438,0.159061
99100,0.969384,0.026328,0.785903,0.167931,0.0248673,0.158614
99600,0.93497,0.0101081,0.785964,0.167867,0.00954731,0.158553
